"","feed_pub_date","item_title","item_description","item_link"
"1",2021-01-21 07:08:00,"Ärger über Lieferengpass beim Impfstoff von Biontech und Pfizer - Deutschland - Badische Zeitung","Ärger über Lieferengpass beim Impfstoff von Biontech und Pfizer - Deutschland&nbsp;&nbsp;Badische ZeitungLieferengpass bei Biontech/Pfizer: Was bedeutet das für die Impffrequenz in den Impfzentren?&nbsp;&nbsp;RNDCorona-Impfstoff - Biontech/Pfizer: Impfstoff ""sehr wahrscheinlich"" auch gegen britische Corona-Mutation wirksam&nbsp;&nbsp;DeutschlandfunkLieferrückgang bei Biontech für Corona-Impfstoff kürzer als befürchtet&nbsp;&nbsp;TagesspiegelBund erhält 180.000 weniger Impfstoffdosen von Pfizer/Biontech&nbsp;&nbsp;finanzen.ch""Mehr zum Thema"" ansehen in Google News","https://www.badische-zeitung.de/aerger-ueber-lieferengpass-beim-impfstoff-von-biontech-und-pfizer--199576140.html"
"2",2021-01-21 07:08:00,"Biontech/Pfizer liefert weniger Corona-Impfstoff nach Europa - bluewin.ch","Biontech/Pfizer liefert weniger Corona-Impfstoff nach Europa&nbsp;&nbsp;bluewin.chUmbau am Pfizer-Werk: Massive Lieferengpässe beim Biontech/Pfizer-Impfstoff erwartet&nbsp;&nbsp;Pharmazeutische Zeitung onlinePfizer/Biontech - Impfstoff-Lieferungen wohl bald wieder planmässig&nbsp;&nbsp;Tages-AnzeigerCorona Impfung von Moderna oder Pfizer/Biontech: Die Unterschiede&nbsp;&nbsp;watsonProduktions-Umbau: Biontech verspricht Lösung des Liefer-Engpasses&nbsp;&nbsp;20 Minuten""Mehr zum Thema"" ansehen in Google News","https://www.bluewin.ch/de/news/vermischtes/biontech-pfizer-liefert-weniger-corona-impfstoff-nach-europa-537649.html"
"3",2021-01-21 07:08:00,"Änderungen in Produktionswerk – Pfizer/Biontech-Impfstoff: Schweiz von Lieferengpässen betroffen - Schweizer Radio und Fernsehen (SRF)","Änderungen in Produktionswerk – Pfizer/Biontech-Impfstoff: Schweiz von Lieferengpässen betroffen&nbsp;&nbsp;Schweizer Radio und Fernsehen (SRF)","https://www.srf.ch/news/schweiz/aenderungen-in-produktionswerk-pfizer-biontech-impfstoff-schweiz-von-lieferengpaessen-betroffen"
"4",2021-01-21 07:08:00,"Israel: Einzeldosis des Biontech-Impfstoffs ""weniger wirksam als erhofft"" - Business Insider Deutschland","Israel: Einzeldosis des Biontech-Impfstoffs ""weniger wirksam als erhofft""&nbsp;&nbsp;Business Insider Deutschland","https://www.businessinsider.de/wissenschaft/gesundheit/israel-hat-bedenken-pfizer-weniger-wirksam-als-erhofft-ist-a/"
"5",2021-01-21 07:08:00,"Biontech/Pfizer halbiert Corona-Impfstoffmenge für Thüringen - MDR","Biontech/Pfizer halbiert Corona-Impfstoffmenge für Thüringen&nbsp;&nbsp;MDR","https://www.mdr.de/thueringen/biontech-liefer-haelfte-corona-impfstoff-100.html"
"6",2021-01-21 07:08:00,"Covid-19 - Was über die Nebenwirkungen des Corona-Impfstoffs von Biontech/Pfizer bekannt ist - Deutschlandfunk","Covid-19 - Was über die Nebenwirkungen des Corona-Impfstoffs von Biontech/Pfizer bekannt ist&nbsp;&nbsp;Deutschlandfunk","https://www.deutschlandfunk.de/covid-19-was-ueber-die-nebenwirkungen-des-corona-impfstoffs.1939.de.html?drn:news_id=1218393"
"7",2021-01-21 07:08:00,"Weitere Millionen Dosen an Corona-Impfstoff von Biontech/Pfizer bestellt - VIENNA.AT","Weitere Millionen Dosen an Corona-Impfstoff von Biontech/Pfizer bestellt&nbsp;&nbsp;VIENNA.AT","https://www.vienna.at/weitere-millionen-dosen-an-corona-impfstoff-von-biontech-pfizer-bestellt/6870793"
"8",2021-01-21 07:08:00,"Lieferverzögerungen bei Biontech/Pfizer-Impfstoff - SALZBURG24","Lieferverzögerungen bei Biontech/Pfizer-Impfstoff&nbsp;&nbsp;SALZBURG24","https://www.salzburg24.at/themen/coronavirus/lieferverzoegerungen-bei-biontech-pfizer-impfstoff-98532106"
"9",2021-01-21 07:08:00,"Biontech und Pfizer liefern weitere 100 Millionen Impfdosen an USA - suedostschweiz.ch","Biontech und Pfizer liefern weitere 100 Millionen Impfdosen an USA&nbsp;&nbsp;suedostschweiz.ch","https://www.suedostschweiz.ch/politik/2020-12-23/biontech-und-pfizer-liefern-weitere-100-millionen-impfdosen-an-usa"
"10",2021-01-21 07:08:00,"Reaktionen auf Lieferengpass: EU-Staaten kritisieren »inakzeptable Situation« bei Impfstoffversorgung - DER SPIEGEL","Reaktionen auf Lieferengpass: EU-Staaten kritisieren »inakzeptable Situation« bei Impfstoffversorgung&nbsp;&nbsp;DER SPIEGEL","https://www.spiegel.de/politik/ausland/pfizer-vakzin-eu-staaten-kritisieren-inakzeptable-situation-bei-impfstoffversorgung-a-07361242-6762-4304-a407-423e9a54743e"
"11",2021-01-21 07:08:00,"Corona-Pandemie - Italien will Pfizer wegen Liefer-Verzögerung verklagen - Deutschlandfunk","Corona-Pandemie - Italien will Pfizer wegen Liefer-Verzögerung verklagen&nbsp;&nbsp;Deutschlandfunk","https://www.deutschlandfunk.de/corona-pandemie-italien-will-pfizer-wegen-liefer.1939.de.html?drn:news_id=1218235"
