"","feed_pub_date","item_title","item_description","item_link"
"1",2021-01-20 17:43:26,"Polska kupi dodatkowo 25 mln dawek szczepionki Pfizer/BioNTech - Wyborcza - Katowice","Polska kupi dodatkowo 25 mln dawek szczepionki Pfizer/BioNTech&nbsp;&nbsp;Wyborcza - KatowiceSzefowa KE stanowczo o opóznieniach w dostawach szczepionek Pfizer/BioNTech - rynki zagraniczne&nbsp;&nbsp;WNP.PLPandemia koronawirusa. Pfizer i BioNTech opracowaly plan zwiekszenia produkcji szczepionek w Europie | TVP Info&nbsp;&nbsp;TVP InfoPfizer zapowiada zwiekszenie dostaw szczepionek. Chodzi o dwa terminy&nbsp;&nbsp;Gazeta.plPolska zamówila kolejne 25 mln szczepionek Pfizer i BioNTech&nbsp;&nbsp;wPolityce.plZobacz wszystkie materialy w aplikacji Wiadomosci Google","https://katowice.wyborcza.pl/katowice/7,35063,26706207,polska-kupi-dodatkowo-25-mln-dawek-szczepionki-pfizer-biontech.html"
"2",2021-01-20 17:43:26,"Niemcy zaczynaja produkcje szczepionek Pfizer i BioNTech. Na rynek ma trafic 750 mln dawek - Money.pl","Niemcy zaczynaja produkcje szczepionek Pfizer i BioNTech. Na rynek ma trafic 750 mln dawek&nbsp;&nbsp;Money.plPfizer/BioNTech zmniejsza dostawy szczepionki przeciw Covid-19 do Europy: Podano daty&nbsp;&nbsp;RMF 24Opóznienia w dostawach szczepionki Pfizer/BioNTech potrwaja do 25 stycznia. Dostawy do Polski spadna o 40 proc.&nbsp;&nbsp;BusinessInsiderPfizer i BioNTech: 25 stycznia powrót do zaplanowanych dostaw szczepionek. Od 15 lutego beda zwiekszone&nbsp;&nbsp;Wiadomosci Gazeta.plDostawy szczepionek Pfizer: BioNTech beda opóznione - rynki zagraniczne&nbsp;&nbsp;WNP.PLZobacz wszystkie materialy w aplikacji Wiadomosci Google","https://www.money.pl/gospodarka/niemcy-zaczynaja-produkcji-szczepionek-pfizer-i-biontech-na-rynek-ma-trafic-750-mln-dawek-6597585062820832a.html"
"3",2021-01-20 17:43:26,"Biontech/Pfizer chce zwiekszyc produkcje szczepionki. To nie takie proste - DW (Polski)","Biontech/Pfizer chce zwiekszyc produkcje szczepionki. To nie takie proste&nbsp;&nbsp;DW (Polski)","https://www.dw.com/pl/biontech-pfizer-chce-zwi%C4%99kszy%C4%87-produkcj%C4%99-szczepionki-to-nie-takie-proste/a-56111217"
"4",2021-01-20 17:43:26,"EMA: kazda fiolka szczepionki Pfizer/BioNTech zawiera szesc dawek - Bankier.pl","EMA: kazda fiolka szczepionki Pfizer/BioNTech zawiera szesc dawek&nbsp;&nbsp;Bankier.pl","https://www.bankier.pl/wiadomosc/EMA-kazda-fiolka-szczepionki-Pfizer-BioNTech-zawiera-szesc-dawek-8033496.html"
"5",2021-01-20 17:43:26,"Szczepienia przeciw COVID-19. Zaszczepiony czy ozdrowieniec - kto jest lepiej chroniony? - BusinessInsider","Szczepienia przeciw COVID-19. Zaszczepiony czy ozdrowieniec - kto jest lepiej chroniony?&nbsp;&nbsp;BusinessInsider","https://businessinsider.com.pl/technologie/nauka/szczepionka-na-koronawirusa-liczba-przeciwcial-pfizer-biontech-wyniki-z-izraela/6sfpryy"
"6",2021-01-20 17:43:26,"Chinska firma chce produkowac szczepionki Pfizer-BioNTech - Bankier.pl","Chinska firma chce produkowac szczepionki Pfizer-BioNTech&nbsp;&nbsp;Bankier.pl","https://www.bankier.pl/wiadomosc/Chinska-firma-chce-produkowac-szczepionki-Pfizer-BioNTech-8029742.html"
"7",2021-01-20 17:43:26,"Pierwsza dawka szczepionki firm Pfizer/BioNTech ogranicza infekcje o 33-60 proc. - wirtualnemedia.pl","Pierwsza dawka szczepionki firm Pfizer/BioNTech ogranicza infekcje o 33-60 proc.&nbsp;&nbsp;wirtualnemedia.pl","https://www.wirtualnemedia.pl/artykul/pierwsza-dawka-szczepionki-pfizer-biontech-jak-dziala-ogranicza-infekcje-o-33-60-proc"
"8",2021-01-20 17:43:26,"UE zdecydowala o zakupie dodatkowych 100 mln dawek szczepionki BioNTech i Pfizer - Bankier.pl","UE zdecydowala o zakupie dodatkowych 100 mln dawek szczepionki BioNTech i Pfizer&nbsp;&nbsp;Bankier.pl","https://www.bankier.pl/wiadomosc/UE-zdecydowala-o-zakupie-dodatkowych-100-mln-dawek-szczepionki-BioNTech-i-Pfizer-8028592.html"
"9",2021-01-20 17:43:26,"Fabryka Pfizer/BioNTech pod zwiekszona kontrola policji. Obawiaja sie ataków terrorystycznych - RMF 24","Fabryka Pfizer/BioNTech pod zwiekszona kontrola policji. Obawiaja sie ataków terrorystycznych&nbsp;&nbsp;RMF 24","https://www.rmf24.pl/raporty/raport-koronawirus-z-chin/szczepienia-przeciw-covid19/news-fabryka-pfizer-biontech-pod-zwiekszona-kontrola-policji-obaw,nId,4979816"
"10",2021-01-20 17:43:26,"Meksyk: Lekarka po otrzymaniu szczepionki Pfizer/BioNTech trafila do szpitala - RMF 24","Meksyk: Lekarka po otrzymaniu szczepionki Pfizer/BioNTech trafila do szpitala&nbsp;&nbsp;RMF 24","https://www.rmf24.pl/raporty/raport-program-szczepien-przeciw-covid/news-meksyk-lekarka-po-otrzymaniu-szczepionki-pfizer-biontech-tra,nId,4962873"
"11",2021-01-20 17:43:26,"Szczepionka Pfizer/BioNTech prawdopodobnie skuteczna równiez wobec mutacji koronawirusa - Forsal.pl","Szczepionka Pfizer/BioNTech prawdopodobnie skuteczna równiez wobec mutacji koronawirusa&nbsp;&nbsp;Forsal.pl","https://forsal.pl/lifestyle/zdrowie/artykuly/8073458,szczepionka-pfizerbiontech-prawdopodobnie-skuteczna-rowniez-wobec-mutacji-koronawirusa.html"
"12",2021-01-20 17:43:26,"Rekomendacja WHO ws. szczepionki Pfizer-BioNTech - RMF 24","Rekomendacja WHO ws. szczepionki Pfizer-BioNTech&nbsp;&nbsp;RMF 24","https://www.rmf24.pl/raporty/raport-program-szczepien-przeciw-covid/news-rekomendacja-who-ws-szczepionki-pfizer-biontech,nId,4968703"
"13",2021-01-20 17:43:26,"Szczepionka przeciw COVID-19 Pfizer i BioNTech: kto moze ja przyjac, a kto nie? Rekomendacje WHO - Puls Medycyny","Szczepionka przeciw COVID-19 Pfizer i BioNTech: kto moze ja przyjac, a kto nie? Rekomendacje WHO&nbsp;&nbsp;Puls Medycyny","https://pulsmedycyny.pl/szczepionka-przeciw-covid-19-pfizer-i-biontech-kto-moze-ja-przyjac-a-kto-nie-rekomendacje-who-1105736"
"14",2021-01-20 17:43:26,"Pelna charakterystyka szczepionki przeciw COVID-19 od Pfizer/BioNTech - politykazdrowotna.com","Pelna charakterystyka szczepionki przeciw COVID-19 od Pfizer/BioNTech&nbsp;&nbsp;politykazdrowotna.com","https://www.politykazdrowotna.com/68415,pelna-charakterystyka-szczepionki-przeciw-covid-19-od-pfizerbiontech"
"15",2021-01-20 17:43:26,"Dworczyk: Moderna moze dostarczyc okolo 800 tys. dawek szczepionki do konca marca - BusinessInsider","Dworczyk: Moderna moze dostarczyc okolo 800 tys. dawek szczepionki do konca marca&nbsp;&nbsp;BusinessInsider","https://businessinsider.com.pl/wiadomosci/dostawy-szczepionek-na-covid-19-do-polski-pfizer-biontech-i-moderna/p0k44f3"
"16",2021-01-20 17:43:26,"Norweska Agencja, Pfizer i BioNTech o smiertelnych przypadkach po szczepieniu - Cowzdrowiu","Norweska Agencja, Pfizer i BioNTech o smiertelnych przypadkach po szczepieniu&nbsp;&nbsp;Cowzdrowiu","https://cowzdrowiu.pl/aktualnosci/post/norweski-urzad-i-pfizer-o-smiertelnych-przypadkach-po-szczepieniu"
"17",2021-01-20 17:43:26,"Pfizer i BioNTech zabieraja glos w sprawie dostaw szczepionki Comirnaty na rynek UE - Cowzdrowiu","Pfizer i BioNTech zabieraja glos w sprawie dostaw szczepionki Comirnaty na rynek UE&nbsp;&nbsp;Cowzdrowiu","https://cowzdrowiu.pl/aktualnosci/post/pfizer-o-dostawach-szczepionki-na-rynek-europejski"
"18",2021-01-20 17:43:26,"Powrót do pierwotnego harmonogramu dostaw szczepionek. Pfizer i BioNTech podaly termin - polsatnews.pl","Powrót do pierwotnego harmonogramu dostaw szczepionek. Pfizer i BioNTech podaly termin&nbsp;&nbsp;polsatnews.pl","https://www.polsatnews.pl/wiadomosc/2021-01-15/firma-pfizer-poinformowala-kiedy-powroci-do-pierwotnego-harmonogramu-dostaw-szczepionek/"
"19",2021-01-20 17:43:26,"KE chce zamówic wiecej dawek szczepionki przeciw Covid-19 od firm Pfizer i BioNTech - 300GOSPODARKA","KE chce zamówic wiecej dawek szczepionki przeciw Covid-19 od firm Pfizer i BioNTech&nbsp;&nbsp;300GOSPODARKA","https://300gospodarka.pl/live/ke-chce-zamowic-wiecej-dawek-szczepionki-przeciw-covid-19-od-firm-pfizer-i-biontech"
"20",2021-01-20 17:43:26,"Wegry zatwierdzily rosyjska szczepionke na koronawirusa? – EURACTIV.pl - EURACTIV Poland","Wegry zatwierdzily rosyjska szczepionke na koronawirusa? – EURACTIV.pl&nbsp;&nbsp;EURACTIV Poland","https://www.euractiv.pl/section/bezpieczenstwo-i-obrona/news/wegry-rosja-szczepionka-koronawirus-sputnik-v/"
"21",2021-01-20 17:43:26,"BioNTech i Pfizer bliskie wypuszczenia szczepionki na rynek. „Najlepsza wiadomosc w okresie pandemii” - DW (Polski)","BioNTech i Pfizer bliskie wypuszczenia szczepionki na rynek. „Najlepsza wiadomosc w okresie pandemii”&nbsp;&nbsp;DW (Polski)","https://www.dw.com/pl/biontech-i-pfizer-bliskie-wypuszczenia-szczepionki-na-rynek-najlepsza-wiadomo%C5%9B%C4%87-w-okresie-pandemii/a-55548170"
"22",2021-01-20 17:43:26,"BioNTech i Pfizer maja szczepionke na COVID-19. To sukces firmy tureckich imigrantów - Money.pl","BioNTech i Pfizer maja szczepionke na COVID-19. To sukces firmy tureckich imigrantów&nbsp;&nbsp;Money.pl","https://www.money.pl/gospodarka/biontech-i-pfizer-maja-szczepionke-na-covid-19-to-sukces-firmy-tureckich-imigrantow-6573801326103424a.html"
"23",2021-01-20 17:43:26,"Pfizer i BioNTech o skutecznosci swojej szczepionki - politykazdrowotna.com","Pfizer i BioNTech o skutecznosci swojej szczepionki&nbsp;&nbsp;politykazdrowotna.com","https://www.politykazdrowotna.com/61278,pfizer-i-biontech-o-skutecznosci-swojej-szczepionki"
"24",2021-01-20 17:43:26,"EMA dopuscila do obrotu szczepionke przeciw COVID-19 firm BioNTech i Pfizer - Parkiet","EMA dopuscila do obrotu szczepionke przeciw COVID-19 firm BioNTech i Pfizer&nbsp;&nbsp;Parkiet","https://www.parkiet.com/Gospodarka---Swiat/312219870-EMA-dopuscila-do-obrotu-szczepionke-przeciw-COVID-19-firm-BioNTech-i-Pfizer.html"
"25",2021-01-20 17:43:26,"KE chce zakupic do 300 mln szczepionek COVID od Pfizer i BioNTech - politykazdrowotna.com","KE chce zakupic do 300 mln szczepionek COVID od Pfizer i BioNTech&nbsp;&nbsp;politykazdrowotna.com","https://www.politykazdrowotna.com/64042,ke-chce-zakupic-do-300-mln-szczepionek-covid-od-pfizer-i-biontech"
"26",2021-01-20 17:43:26,"EMA: Firmy Pfizer, BioNTech i Moderna przedstawily bardzo solidne dane w sprawie szczepionek na Covid-19 - Bankier.pl","EMA: Firmy Pfizer, BioNTech i Moderna przedstawily bardzo solidne dane w sprawie szczepionek na Covid-19&nbsp;&nbsp;Bankier.pl","https://www.bankier.pl/wiadomosc/EMA-Firmy-Pfizer-BioNTech-i-Moderna-przedstawily-bardzo-solidne-dane-w-sprawie-szczepionek-na-Covid-19-8018303.html"
"27",2021-01-20 17:43:26,"Pfizer i BioNTech. Czy szczepionka na koronawirusa zakonczy swiatowa pandemie? - Money.pl","Pfizer i BioNTech. Czy szczepionka na koronawirusa zakonczy swiatowa pandemie?&nbsp;&nbsp;Money.pl","https://www.money.pl/gospodarka/pfizer-i-biontech-czy-szczepionka-na-koronawirusa-zakonczy-swiatowa-pandemie-6582282634979904a.html"
