,feed_pub_date,item_title,item_description,item_link
1,20/01/2021 13:56,Pfizer/BioNTech-vaccin lijkt effectief tegen Britse variant - Het Laatste Nieuws,Pfizer/BioNTech-vaccin lijkt effectief tegen Britse variant&nbsp;&nbsp;Het Laatste NieuwsOnderzoekers: 'Pfizer-vaccin helpt tegen overdracht coronavirus'&nbsp;&nbsp;Business AM - NLMensen krijgen tweede dosis vaccin Pfizer voortaan later&nbsp;&nbsp;RTL NieuwsPaniek is NIET nodig: BioNTech/Pfizer-vaccin werkt óók tegen Britse coronamutatie&nbsp;&nbsp;De Dagelijkse StandaardCorona-vaccinatie: sneller meer mensen beschermen | Nieuwsbericht&nbsp;&nbsp;Rijksoverheid.nlHele verhaal bekijken via Google Nieuws,https://www.hln.be/medisch/pfizer-biontech-vaccin-lijkt-effectief-tegen-britse-variant~acf6a58b/
2,20/01/2021 13:56,"EU verdubbelt bestelling bij Pfizer/BioNTech: 'Een gamechanger', reageert premier De Croo - De Morgen","EU verdubbelt bestelling bij Pfizer/BioNTech: 'Een gamechanger', reageert premier De Croo&nbsp;&nbsp;De MorgenEuropa bestelt 300 miljoen extra vaccins van Pfizer en BioNTech&nbsp;&nbsp;De TijdEuropa verdubbelt bestelling bij Pfizer-BioNTech; De Croo: 'Dit is een gamechanger'&nbsp;&nbsp;Knack.beEuropese Unie bestelt nog eens 300 miljoen vaccins van Pfizer/BioNTech&nbsp;&nbsp;ATVEU heeft akkoord over extra bestelling 300 miljoen dosissen Pfizer-vaccin, ook voor ons land 'gamechanger'&nbsp;&nbsp;De StandaardHele verhaal bekijken via Google Nieuws",https://www.demorgen.be/nieuws/eu-verdubbelt-bestelling-bij-pfizer-biontech-een-gamechanger-reageert-premier-de-croo~b4fa18fa/
3,20/01/2021 13:56,Ook Pfizer en BioNTech zullen inzage geven in hun Europees contract - Het Laatste Nieuws,Ook Pfizer en BioNTech zullen inzage geven in hun Europees contract&nbsp;&nbsp;Het Laatste Nieuws,https://www.hln.be/binnenland/ook-pfizer-en-biontech-zullen-inzage-geven-in-hun-europees-contract~a7744ab5/
4,20/01/2021 13:56,Vaccinleveringen Pfizer-BioNTech vallen even terug - De Tijd,Vaccinleveringen Pfizer-BioNTech vallen even terug&nbsp;&nbsp;De Tijd,https://www.tijd.be/politiek-economie/belgie/algemeen/vaccinleveringen-pfizer-biontech-vallen-even-terug/10277622.html
5,20/01/2021 13:56,Pfizer/BioNTech: 'Niet te lang wachten met tweede prik' - De Morgen,Pfizer/BioNTech: 'Niet te lang wachten met tweede prik'&nbsp;&nbsp;De Morgen,https://www.demorgen.be/nieuws/pfizer-biontech-niet-te-lang-wachten-met-tweede-prik~b03a42dc/
6,20/01/2021 13:56,Pfizer en BioNTech: 'Geen bewijs dat tweede dosis vaccin uitgesteld mag worden' - De Tijd,Pfizer en BioNTech: 'Geen bewijs dat tweede dosis vaccin uitgesteld mag worden'&nbsp;&nbsp;De Tijd,https://www.tijd.be/dossiers/coronavirus/pfizer-en-biontech-geen-bewijs-dat-tweede-dosis-vaccin-uitgesteld-mag-worden/10274998.html
7,20/01/2021 13:56,Pfizer/BioNTech-topman: lastig om snel meer vaccins te produceren - NOS,Pfizer/BioNTech-topman: lastig om snel meer vaccins te produceren&nbsp;&nbsp;NOS,https://nos.nl/l/2362713
8,20/01/2021 13:56,Pfizer en BioNTech produceren de helft meer vaccins dan gepland - Business AM - NL,Pfizer en BioNTech produceren de helft meer vaccins dan gepland&nbsp;&nbsp;Business AM - NL,https://businessam.be/pfizer-en-biontech-produceren-de-helft-meer-vaccins-dan-gepland/
9,20/01/2021 13:56,Topman BioNTech waarschuwt voor tekort aan coronavaccins - Business AM - NL,Topman BioNTech waarschuwt voor tekort aan coronavaccins&nbsp;&nbsp;Business AM - NL,https://businessam.be/topman-biontech-waarschuwt-voor-tekort-aan-coronavaccins/
10,20/01/2021 13:56,Ontwikkelaars van BioNtech/Pfizer-vaccin: “Het coronavirus b... - Het Nieuwsblad,Ontwikkelaars van BioNtech/Pfizer-vaccin: “Het coronavirus b...&nbsp;&nbsp;Het Nieuwsblad,https://m.nieuwsblad.be/cnt/dmf20201222_96277045
11,20/01/2021 13:56,Vaccin Pfizer/BionTech werkt wel degelijk tegen nieuwe coronavarianten - ATV,Vaccin Pfizer/BionTech werkt wel degelijk tegen nieuwe coronavarianten&nbsp;&nbsp;ATV,https://atv.be/nieuws/vaccin-pfizerbiontech-werkt-wel-degelijk-tegen-nieuwe-coronavarianten
12,20/01/2021 13:56,"Honderd meldingen bijwerkingen coronavaccin BioNTech/Pfizer, geen verrassingen - Dagblad van het Noorden","Honderd meldingen bijwerkingen coronavaccin BioNTech/Pfizer, geen verrassingen&nbsp;&nbsp;Dagblad van het Noorden",https://www.dvhn.nl/extra/Honderd-meldingen-bijwerkingen-coronavaccin-BioNTechPfizer-geen-verrassingen-26354239.html
13,20/01/2021 13:56,"'EU kon 500 miljoen dosissen krijgen van Pfizer/BioNTech-vaccin, maar weigerde' - newsmonkey","'EU kon 500 miljoen dosissen krijgen van Pfizer/BioNTech-vaccin, maar weigerde'&nbsp;&nbsp;newsmonkey",https://newsmonkey.be/eu-500-miljoen-dosissen-pfizer-biontech-vaccin-weigerde/
14,20/01/2021 13:56,Dit zijn de meest voorkomende bijwerkingen van Pfizer-BioNTech vaccin - Telegraaf.nl,Dit zijn de meest voorkomende bijwerkingen van Pfizer-BioNTech vaccin&nbsp;&nbsp;Telegraaf.nl,https://www.telegraaf.nl/nieuws/1328671746/dit-zijn-de-meest-voorkomende-bijwerkingen-van-pfizer-bio-n-tech-vaccin
15,20/01/2021 13:56,"Multimiljardair dankzij corona, maar nog altijd met de fiets naar het werk: het verhaal van het echtpaar achter het allereerste coronavaccin - Het Nieuwsblad","Multimiljardair dankzij corona, maar nog altijd met de fiets naar het werk: het verhaal van het echtpaar achter het allereerste coronavaccin&nbsp;&nbsp;Het Nieuwsblad",https://www.nieuwsblad.be/cnt/dmf20201228_96434395
16,20/01/2021 13:56,"7.000 vaccins van Pfizer/BioNtech komen vandaag aan in Jessa Ziekenhuis: ""We krijgen 15 minuten op voorhand telefoon"" - VRT NWS","7.000 vaccins van Pfizer/BioNtech komen vandaag aan in Jessa Ziekenhuis: ""We krijgen 15 minuten op voorhand telefoon""&nbsp;&nbsp;VRT NWS",https://www.vrt.be/vrtnws/nl/2021/01/05/7-000-vaccins-van-phizer-biontech-komen-vandaag-aan-in-jessaziek/
17,20/01/2021 13:56,"CHECK: Nee, overlijdens en gezichtsverlamming komen niet vaker voor na een injectie met het Pfizer-vaccin - VRT NWS","CHECK: Nee, overlijdens en gezichtsverlamming komen niet vaker voor na een injectie met het Pfizer-vaccin&nbsp;&nbsp;VRT NWS",https://www.vrt.be/vrtnws/nl/2020/12/29/check-nee-overlijdens-en-gezichtsverlamming-komen-niet-vaker-v/
18,20/01/2021 13:56,Pfizer/BioNTech-vaccin voldoet aan Amerikaanse veiligheidseisen - De Tijd,Pfizer/BioNTech-vaccin voldoet aan Amerikaanse veiligheidseisen&nbsp;&nbsp;De Tijd,https://www.tijd.be/ondernemen/farma-biotech/pfizer-biontech-vaccin-voldoet-aan-amerikaanse-veiligheidseisen/10270442.html
19,20/01/2021 13:56,Pfizer en BioNTech vragen Europese goedkeuring voor vaccin aan - Het Laatste Nieuws,Pfizer en BioNTech vragen Europese goedkeuring voor vaccin aan&nbsp;&nbsp;Het Laatste Nieuws,https://www.hln.be/medisch/pfizer-en-biontech-vragen-europese-goedkeuring-voor-vaccin-aan~a0633e37/
20,20/01/2021 13:56,Europa zet licht op groen voor Pfizer-BioNTech-vaccin - De Tijd,Europa zet licht op groen voor Pfizer-BioNTech-vaccin&nbsp;&nbsp;De Tijd,https://www.tijd.be/dossiers/coronavirus/europa-zet-licht-op-groen-voor-pfizer-biontech-vaccin/10273270.html
21,20/01/2021 13:56,Eerste Pfizer-vaccins onder politiebegeleiding vanuit België naar EU-landen vertrokken - De Morgen,Eerste Pfizer-vaccins onder politiebegeleiding vanuit België naar EU-landen vertrokken&nbsp;&nbsp;De Morgen,https://www.demorgen.be/nieuws/eerste-pfizer-vaccins-onder-politiebegeleiding-vanuit-belgie-naar-eu-landen-vertrokken~b5419f2b/
22,20/01/2021 13:56,Amerikaanse adviescommissie geeft groen licht voor toedienen van Pfizer-BioNTech-vaccin - VRT NWS,Amerikaanse adviescommissie geeft groen licht voor toedienen van Pfizer-BioNTech-vaccin&nbsp;&nbsp;VRT NWS,https://www.vrt.be/vrtnws/nl/2020/12/10/groen-licht-voor-pfizer-biontech-in-de-verenigde-staten/
23,20/01/2021 13:56,Cyberaanval op Europees Geneesmiddelenbureau: documenten over coronavaccin van Pfizer/BioNTech ingekeken - VRT NWS,Cyberaanval op Europees Geneesmiddelenbureau: documenten over coronavaccin van Pfizer/BioNTech ingekeken&nbsp;&nbsp;VRT NWS,https://www.vrt.be/vrtnws/nl/2020/12/09/hackers-keken-informatie-coronavaccin-van-pfizer-biontech-in/
24,20/01/2021 13:56,België koopt vaccin Pfizer-BioNTech - De Tijd,België koopt vaccin Pfizer-BioNTech&nbsp;&nbsp;De Tijd,https://www.tijd.be/dossiers/coronavirus/belgie-koopt-vaccin-pfizer-biontech/10266041.html
25,20/01/2021 13:56,Pfizer en BioNTech willen vaccin-test uitbreiden - De Tijd,Pfizer en BioNTech willen vaccin-test uitbreiden&nbsp;&nbsp;De Tijd,https://www.tijd.be/ondernemen/farma-biotech/pfizer-en-biontech-willen-vaccin-test-uitbreiden/10251237.html
26,20/01/2021 13:56,Pfizer en BioNTech starten wereldwijde grote test coronavaccin met 30.000 mensen - VRT NWS,Pfizer en BioNTech starten wereldwijde grote test coronavaccin met 30.000 mensen&nbsp;&nbsp;VRT NWS,https://www.vrt.be/vrtnws/nl/2020/07/29/pfizer-en-biontech-starten-wereldwijde-klinische-fase-2-3-test-c/
27,20/01/2021 13:56,Kandidaat-coronavaccin Pfizer/BioNTech is voor 90 procent efficiënt - Trends,Kandidaat-coronavaccin Pfizer/BioNTech is voor 90 procent efficiënt&nbsp;&nbsp;Trends,https://trends.knack.be/economie/bedrijven/kandidaat-coronavaccin-pfizer-biontech-is-voor-90-procent-efficient/article-analyse-1663605.html
28,20/01/2021 13:56,Vaccin van Pfizer en BioNTech mogelijk nog dit jaar verdeeld - Knack.be,Vaccin van Pfizer en BioNTech mogelijk nog dit jaar verdeeld&nbsp;&nbsp;Knack.be,https://www.knack.be/nieuws/wereld/vaccin-van-pfizer-en-biontech-mogelijk-nog-dit-jaar-verdeeld/article-news-1667619.html
29,20/01/2021 13:56,Pfizer en BioNTech melden bemoedigende eerste resultaten voor coronavaccin - Het Laatste Nieuws,Pfizer en BioNTech melden bemoedigende eerste resultaten voor coronavaccin&nbsp;&nbsp;Het Laatste Nieuws,https://www.hln.be/medisch/pfizer-en-biontech-melden-bemoedigende-eerste-resultaten-voor-coronavaccin~ad8b61a2/
30,20/01/2021 13:56,Gamechanger in race naar coronavaccin - De Tijd,Gamechanger in race naar coronavaccin&nbsp;&nbsp;De Tijd,https://www.tijd.be/dossiers/coronavirus/gamechanger-in-race-naar-coronavaccin/10263950.html
