"","feed_pub_date","item_title","item_description","item_link"
"1",2021-01-01 08:00:00,"Biontech legger plan for økt vaksineproduksjon - Dagens Næringsliv","Biontech legger plan for økt vaksineproduksjon&nbsp;&nbsp;Dagens Næringsliv","https://www.dn.no/helse/biontech/pfizer/ugur-sahin/biontech-legger-plan-for-okt-vaksineproduksjon/2-1-937967"
"2",2021-01-01 08:00:00,"FT: Pfizer/Biontech-vaksinen effektiv mot britisk virusmutasjon - Adresseavisen","FT: Pfizer/Biontech-vaksinen effektiv mot britisk virusmutasjon&nbsp;&nbsp;Adresseavisen","https://www.adressa.no/nyheter/utenriks/2021/01/20/FT-PfizerBiontech-vaksinen-effektiv-mot-britisk-virusmutasjon-23352640.ece"
"3",2021-01-01 08:00:00,"WHO nødgodkjenner koronavaksinen fra Pfizer og Biontech - Adresseavisen","WHO nødgodkjenner koronavaksinen fra Pfizer og Biontech&nbsp;&nbsp;Adresseavisen","https://www.adressa.no/nyheter/utenriks/2020/12/31/WHO-n%C3%B8dgodkjenner-koronavaksinen-fra-Pfizer-og-Biontech-23249280.ece"
"4",2021-01-01 08:00:00,"EU-avtale om 300 millioner ekstra doser av Pfizer/Biontech-vaksine - E24","EU-avtale om 300 millioner ekstra doser av Pfizer/Biontech-vaksine&nbsp;&nbsp;E24","https://e24.no/internasjonal-oekonomi/i/1Bq3ne/eu-avtale-om-300-millioner-ekstra-doser-av-pfizer-biontech-vaksine"
"5",2021-01-01 08:00:00,"Biontech-sjefen: Mer testing nødvendig for å finne ut om vaksinen beskytter mot mutert koronavirus - Dagens Næringsliv","Biontech-sjefen: Mer testing nødvendig for å finne ut om vaksinen beskytter mot mutert koronavirus&nbsp;&nbsp;Dagens Næringsliv","https://www.dn.no/helse/pfizer-biontech/ugur-sahin/koronavaksine/biontech-sjefen-mer-testing-nodvendig-for-a-finne-ut-om-vaksinen-beskytter-mot-mutert-koronavirus/2-1-935919"
"6",2021-01-01 08:00:00,"Vanvittige tall i vaksine-økonomien: Ett selskap leder kappløpet klart - Nettavisen","Vanvittige tall i vaksine-økonomien: Ett selskap leder kappløpet klart&nbsp;&nbsp;Nettavisen","https://www.nettavisen.no/okonomi/vanvittige-tall-i-vaksine-okonomien-ett-selskap-leder-kapplopet-klart/s/12-95-3424076554"
"7",2021-01-01 08:00:00,"Vaksine mot koronavirus - Comirnaty (BioNTech og Pfizer) - folkehelseinstituttet","Vaksine mot koronavirus - Comirnaty (BioNTech og Pfizer)&nbsp;&nbsp;folkehelseinstituttet","https://www.fhi.no/publ/informasjonsark/vaksine-mot-koronavirus---comirnaty-biontech-og-pfizer/"
"8",2021-01-01 08:00:00,"BioNTech og Pfizer har søkt om godkjenning av koronavaksine - Statens legemiddelverk","BioNTech og Pfizer har søkt om godkjenning av koronavaksine&nbsp;&nbsp;Statens legemiddelverk","https://legemiddelverket.no/nyheter/pfizer-og-biontech-har-sokt-om-godkjenning-av-koronavaksine"
"9",2021-01-01 08:00:00,"Pfizer og Biontech med endelig bekreftelse på effektiv koronavaksine - Dagens Næringsliv","Pfizer og Biontech med endelig bekreftelse på effektiv koronavaksine&nbsp;&nbsp;Dagens Næringsliv","https://www.dn.no/helse/wall-street/biontech/koronaviruset/pfizer-og-biontech-med-endelig-bekreftelse-pa-effektiv-koronavaksine/2-1-914872"
"10",2021-01-01 08:00:00,"EMA anbefaler betinget godkjenning av Pfizer-BioNTech-vaksinen - Dagens Medisin","EMA anbefaler betinget godkjenning av Pfizer-BioNTech-vaksinen&nbsp;&nbsp;Dagens Medisin","https://www.dagensmedisin.no/artikler/2020/12/21/ema-anbefaler-betinget-godkjenning-av-pfizer-biontech-vaksinen/"
"11",2021-01-01 08:00:00,"Koronavaksine fra BioNTech og Pfizer kan få anbefaling om midlertidig godkjenning 21. desember - Statens legemiddelverk","Koronavaksine fra BioNTech og Pfizer kan få anbefaling om midlertidig godkjenning 21. desember&nbsp;&nbsp;Statens legemiddelverk","https://legemiddelverket.no/nyheter/ema-fremskynder-godkjenningsmotet-om-koronavaksinen-fra-pfizer-og-biontech"
